lotID,name,deleted,winner,dateCreated,players,key,dateEnded,HasRatingChangedDueToResult,wlnetGameID
5649391675244544,Deadman's ladder : master of desaster vs...,False,5741031244955648,2015-03-06T22:06:26,"[5741031244955648L, 6243983994912768L]",5726607939469312,2015-03-06T22:36:31,True,8192828
5649391675244544,Deadman's ladder : Master of the Dead vs...,False,6252363744542720,2015-03-08T08:13:53,"[5639445604728832L, 6252363744542720L]",5730082031140864,2015-03-08T08:43:58,True,8202184
5649391675244544,Deadman's ladder : Ryiro vs Krzychu,False,5668600916475904,2015-02-28T15:12:08,"[5668600916475904L, 5076495651307520L]",5732568548769792,2015-02-28T15:32:09,True,8147836
5649391675244544,Deadman's ladder : Arkanton vs Krzychu...,False,5076495651307520,2015-03-13T09:18:22,"[5105650963054592L, 5076495651307520L]",5733935958982656,2015-03-13T09:48:29,True,8237456
5649391675244544,Deadman's ladder : Arkanton vs Beren Erc...,False,5105650963054592,2015-03-14T21:44:42,"[5105650963054592L, 5142291060621312L]",5739719937753088,2015-03-14T22:55:00,True,8249600
5649391675244544,Deadman's ladder : Beren Erchamion vs RP...,False,5142291060621312,2015-03-14T19:33:22,"[5142291060621312L, 5706803308396544L]",5745865499082752,2015-03-14T20:24:13,True,8248573
5649391675244544,Deadman's ladder : Master of the Dead vs...,False,5639445604728832,2015-03-05T04:20:48,"[5639445604728832L, 6273189772525568L]",5746055551385600,2015-03-05T04:32:55,True,8180727
5649391675244544,Deadman's ladder : Krzychu vs RPA...,False,5076495651307520,2015-03-19T15:09:02,"[5076495651307520L, 5706803308396544L]",5749328048029696,2015-03-19T15:29:07,True,8282053
5649391675244544,Deadman's ladder : Master of the Dead vs...,False,5639445604728832,2015-03-07T19:31:15,"[5639445604728832L, 5089836356599808L]",5750085036015616,2015-03-07T20:11:22,True,8198466
5649391675244544,Deadman's ladder : The Dark Knight vs He...,False,6295518502191104,2015-03-07T18:33:39,"[6295518502191104L, 5676830073815040L]",5755685136498688,2015-03-07T18:51:02,True,8198040
